Humidity: 38.30 %, Temp: 29.70 Celsius
Humidity: 36.20 %, Temp: 29.70 Celsius
Humidity: 43.10 %, Temp: 29.80 Celsius
Humidity: 50.00 %, Temp: 29.90 Celsius
Humidity: 52.90 %, Temp: 30.00 Celsius
Humidity: 58.50 %, Temp: 30.20 Celsius
Humidity: 65.80 %, Temp: 30.40 Celsius
Humidity: 71.50 %, Temp: 30.50 Celsius
Humidity: 74.60 %, Temp: 30.70 Celsius
Humidity: 70.60 %, Temp: 30.80 Celsius
Humidity: 74.90 %, Temp: 30.90 Celsius
Humidity: 76.80 %, Temp: 31.10 Celsius
Humidity: 60.90 %, Temp: 31.20 Celsius
Humidity: 54.60 %, Temp: 31.30 Celsius
Humidity: 48.40 %, Temp: 31.40 Celsius
Humidity: 44.00 %, Temp: 31.40 Celsius
Humidity: 40.50 %, Temp: 31.40 Celsius
Humidity: 37.50 %, Temp: 31.30 Celsius
Humidity: 35.20 %, Temp: 31.30 Celsius
Humidity: 32.90 %, Temp: 31.20 Celsius
Humidity: 30.90 %, Temp: 31.10 Celsius
Humidity: 29.50 %, Temp: 31.10 Celsius
Humidity: 28.30 %, Temp: 31.00 Celsius
Humidity: 27.40 %, Temp: 30.90 Celsius
Humidity: 31.00 %, Temp: 30.80 Celsius
Humidity: 33.70 %, Temp: 30.80 Celsius
Humidity: 34.40 %, Temp: 30.70 Celsius
Humidity: 34.90 %, Temp: 30.70 Celsius
Humidity: 33.80 %, Temp: 30.60 Celsius
Humidity: 35.30 %, Temp: 30.60 Celsius
Humidity: 36.30 %, Temp: 30.60 Celsius
Humidity: 38.40 %, Temp: 30.60 Celsius
Humidity: 42.30 %, Temp: 30.60 Celsius
Humidity: 42.20 %, Temp: 30.60 Celsius
Humidity: 43.40 %, Temp: 30.70 Celsius
Humidity: 45.70 %, Temp: 30.70 Celsius
Humidity: 50.30 %, Temp: 30.70 Celsius
Humidity: 49.80 %, Temp: 30.70 Celsius
Humidity: 49.70 %, Temp: 30.70 Celsius
Humidity: 50.40 %, Temp: 30.70 Celsius
Humidity: 53.30 %, Temp: 30.80 Celsius
Humidity: 52.80 %, Temp: 30.80 Celsius
Humidity: 53.70 %, Temp: 30.90 Celsius
Humidity: 49.20 %, Temp: 30.80 Celsius
Humidity: 45.80 %, Temp: 30.80 Celsius
Humidity: 44.60 %, Temp: 30.80 Celsius
Humidity: 43.90 %, Temp: 30.90 Celsius
Humidity: 43.50 %, Temp: 30.90 Celsius
Humidity: 43.70 %, Temp: 30.90 Celsius
Humidity: 41.80 %, Temp: 30.90 Celsius
Humidity: 38.10 %, Temp: 30.90 Celsius
Humidity: 36.60 %, Temp: 30.90 Celsius
Humidity: 34.90 %, Temp: 30.80 Celsius
